serie Name,serie Code,país Name,país Code,2000 [YR2000],2012 [YR2012],2017 [YR2017]
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Bulgaria,BGR,30,26,43
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,El Salvador,SLV,0,29,40
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Uruguay,URY,..,..,60.6288375854492
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Argentina,ARG,..,..,50.757251739502
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Bulgaria,BGR,..,..,73.6368560791016
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,El Salvador,SLV,..,..,24.3799591064453
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Uruguay,URY,..,..,67.6058502197266
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Argentina,ARG,..,..,46.4663772583008
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Bulgaria,BGR,..,..,70.6195373535156
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,El Salvador,SLV,..,..,37.5771446228027
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Uruguay,URY,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Argentina,ARG,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Bulgaria,BGR,96.25953,97.26934,88.14373
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,El Salvador,SLV,90.86143,94.48846,81.4231
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Uruguay,URY,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Argentina,ARG,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Bulgaria,BGR,97.88251,97.10706,88.03166
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,El Salvador,SLV,91.08262,94.52122,80.52724
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Uruguay,URY,65.7322,60.653,58.727
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Argentina,ARG,66.3552,63.567,62.782
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bulgaria,BGR,44.808,43.756,39.86
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,El Salvador,SLV,91.262,73.515,69.459
"Age at first marriage, female",SP.DYN.SMAM.FE,Uruguay,URY,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Argentina,ARG,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bulgaria,BGR,..,..,32.5
"Age at first marriage, female",SP.DYN.SMAM.FE,El Salvador,SLV,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Uruguay,URY,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Argentina,ARG,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bulgaria,BGR,..,..,35.6
"Age at first marriage, male",SP.DYN.SMAM.MA,El Salvador,SLV,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Uruguay,URY,60.3366177584994,55.9576607924778,54.9841301910601
Age dependency ratio (% of working-age population),SP.POP.DPND,Argentina,ARG,61.7882942458613,56.3791879629017,56.0463554436975
Age dependency ratio (% of working-age population),SP.POP.DPND,Bulgaria,BGR,47.6115970768822,48.4027166279201,54.3265513629189
Age dependency ratio (% of working-age population),SP.POP.DPND,El Salvador,SLV,72.7635633928574,60.2536910441281,55.1598531304506
"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,Uruguay,URY,25197,23106,23794
"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,Argentina,ARG,335603,360503,370164
"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,Bulgaria,BGR,29812,33999,28060
"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,El Salvador,SLV,70580,60174,56429
"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,Uruguay,URY,26370,24093,24818
"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,Argentina,ARG,348448,374450,384388
"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,Bulgaria,BGR,31130,35826,29779
"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,El Salvador,SLV,73546,63110,59219
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Uruguay,URY,25988,23027,23478
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Argentina,ARG,341375,359654,368375
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Bulgaria,BGR,30053,35401,30274
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,El Salvador,SLV,72780,58469,56577
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Uruguay,URY,27171,24056,24490
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Argentina,ARG,354044,373311,382423
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Bulgaria,BGR,31621,37361,32059
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,El Salvador,SLV,75983,61153,59267
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Uruguay,URY,26588,22646,23802
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Argentina,ARG,345784,355375,369832
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Bulgaria,BGR,30837,37911,28833
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,El Salvador,SLV,74262,59935,56217
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Uruguay,URY,27779,23707,24748
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Argentina,ARG,358234,368894,383904
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Bulgaria,BGR,32605,39942,30579
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,El Salvador,SLV,77626,62742,58958
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Uruguay,URY,27015,22824,23430
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Argentina,ARG,348942,354792,367020
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Bulgaria,BGR,32083,37315,31337
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,El Salvador,SLV,75096,58768,56301
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Uruguay,URY,28210,23902,24400
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Argentina,ARG,361125,368120,380900
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Bulgaria,BGR,34008,39380,33166
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,El Salvador,SLV,78549,61420,58973
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Uruguay,URY,27287,23035,23138
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Argentina,ARG,350958,354013,364323
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Bulgaria,BGR,33713,36464,33324
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,El Salvador,SLV,75353,58170,56397
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Uruguay,URY,28483,24121,24132
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Argentina,ARG,362828,367188,378034
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Bulgaria,BGR,35756,38538,35220
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,El Salvador,SLV,78824,60734,59031
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Uruguay,URY,27421,23270,22924
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Argentina,ARG,351944,353072,361758
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Bulgaria,BGR,35645,35427,34821
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,El Salvador,SLV,75103,58076,56514
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Uruguay,URY,28616,24358,23941
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Argentina,ARG,363451,366125,375319
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Bulgaria,BGR,37776,37490,36771
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,El Salvador,SLV,78526,60603,59129
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uruguay,URY,16.329,14.263,13.963
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,ARG,19.499,17.949,17.205
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,9,9.5,9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,El Salvador,SLV,24.931,19.213,18.429
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Uruguay,URY,99.7,99.5,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Argentina,ARG,99.1,98.2,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bulgaria,BGR,99.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,El Salvador,SLV,..,99.5,..
"Borrowed any money in the past year, female (% age 15+)",fin23.t.d.2,Uruguay,URY,..,..,54.0941467285156
"Borrowed any money in the past year, female (% age 15+)",fin23.t.d.2,Argentina,ARG,..,..,37.5730018615723
"Borrowed any money in the past year, female (% age 15+)",fin23.t.d.2,Bulgaria,BGR,..,..,37.012451171875
"Borrowed any money in the past year, female (% age 15+)",fin23.t.d.2,El Salvador,SLV,..,..,19.789421081543
"Borrowed any money in the past year, male  (% age 15+)",fin23.t.d.1,Uruguay,URY,..,..,53.3131523132324
"Borrowed any money in the past year, male  (% age 15+)",fin23.t.d.1,Argentina,ARG,..,..,37.412467956543
"Borrowed any money in the past year, male  (% age 15+)",fin23.t.d.1,Bulgaria,BGR,..,..,38.148551940918
"Borrowed any money in the past year, male  (% age 15+)",fin23.t.d.1,El Salvador,SLV,..,..,25.9862518310547
"Borrowed for education or school fees, female  (% age 15+)",fin22a.14.a.2,Uruguay,URY,..,..,..
"Borrowed for education or school fees, female  (% age 15+)",fin22a.14.a.2,Argentina,ARG,..,..,..
"Borrowed for education or school fees, female  (% age 15+)",fin22a.14.a.2,Bulgaria,BGR,..,..,..
"Borrowed for education or school fees, female  (% age 15+)",fin22a.14.a.2,El Salvador,SLV,..,..,..
"Borrowed for education or school fees, male  (% age 15+)",fin22a.14.a.1,Uruguay,URY,..,..,..
"Borrowed for education or school fees, male  (% age 15+)",fin22a.14.a.1,Argentina,ARG,..,..,..
"Borrowed for education or school fees, male  (% age 15+)",fin22a.14.a.1,Bulgaria,BGR,..,..,..
"Borrowed for education or school fees, male  (% age 15+)",fin22a.14.a.1,El Salvador,SLV,..,..,..
"Borrowed for health or medical purposes, female  (% age 15+)",fin20b.t.a.2,Uruguay,URY,..,..,8.48186492919922
"Borrowed for health or medical purposes, female  (% age 15+)",fin20b.t.a.2,Argentina,ARG,..,..,5.73090410232544
"Borrowed for health or medical purposes, female  (% age 15+)",fin20b.t.a.2,Bulgaria,BGR,..,..,4.96963787078857
"Borrowed for health or medical purposes, female  (% age 15+)",fin20b.t.a.2,El Salvador,SLV,..,..,7.05667304992676
"Borrowed for health or medical purposes, male  (% age 15+)",fin20b.t.a.1,Uruguay,URY,..,..,6.26194477081299
"Borrowed for health or medical purposes, male  (% age 15+)",fin20b.t.a.1,Argentina,ARG,..,..,6.88249540328979
"Borrowed for health or medical purposes, male  (% age 15+)",fin20b.t.a.1,Bulgaria,BGR,..,..,2.10003542900085
"Borrowed for health or medical purposes, male  (% age 15+)",fin20b.t.a.1,El Salvador,SLV,..,..,6.27223777770996
"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a.t.d.2,Uruguay,URY,..,..,44.8590850830078
"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a.t.d.2,Argentina,ARG,..,..,24.2796325683594
"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a.t.d.2,Bulgaria,BGR,..,..,18.1466007232666
"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a.t.d.2,El Salvador,SLV,..,..,9.60884761810303
"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a.t.d.1,Uruguay,URY,..,..,41.8067855834961
"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a.t.d.1,Argentina,ARG,..,..,24.467493057251
"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a.t.d.1,Bulgaria,BGR,..,..,19.4331607818604
"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a.t.d.1,El Salvador,SLV,..,..,13.8975992202759
"Borrowed from a financial institution, female (% age 15+)",fin22a.t.a.2,Uruguay,URY,..,..,19.0904159545898
"Borrowed from a financial institution, female (% age 15+)",fin22a.t.a.2,Argentina,ARG,..,..,7.59920930862427
"Borrowed from a financial institution, female (% age 15+)",fin22a.t.a.2,Bulgaria,BGR,..,..,12.6315784454346
"Borrowed from a financial institution, female (% age 15+)",fin22a.t.a.2,El Salvador,SLV,..,..,7.69325351715088
"Borrowed from a financial institution, male (% age 15+)",fin22a.t.a.1,Uruguay,URY,..,..,17.4925060272217
"Borrowed from a financial institution, male (% age 15+)",fin22a.t.a.1,Argentina,ARG,..,..,7.01182174682617
"Borrowed from a financial institution, male (% age 15+)",fin22a.t.a.1,Bulgaria,BGR,..,..,11.0583639144897
"Borrowed from a financial institution, male (% age 15+)",fin22a.t.a.1,El Salvador,SLV,..,..,9.49587345123291
"Borrowed from a savings club, female (% age 15+)",fin22c.a.2,Uruguay,URY,..,..,0
"Borrowed from a savings club, female (% age 15+)",fin22c.a.2,Argentina,ARG,..,..,0.752293825149536
"Borrowed from a savings club, female (% age 15+)",fin22c.a.2,Bulgaria,BGR,..,..,0.182941287755966
"Borrowed from a savings club, female (% age 15+)",fin22c.a.2,El Salvador,SLV,..,..,2.11206102371216
"Borrowed from a savings club, male  (% age 15+)",fin22c.a.1,Uruguay,URY,..,..,0
"Borrowed from a savings club, male  (% age 15+)",fin22c.a.1,Argentina,ARG,..,..,0.403090626001358
"Borrowed from a savings club, male  (% age 15+)",fin22c.a.1,Bulgaria,BGR,..,..,0
"Borrowed from a savings club, male  (% age 15+)",fin22c.a.1,El Salvador,SLV,..,..,1.61033964157104
"Borrowed from a store by buying on credit, female (% age 15+)",fin21b.t.14.a.2,Uruguay,URY,..,..,..
"Borrowed from a store by buying on credit, female (% age 15+)",fin21b.t.14.a.2,Argentina,ARG,..,..,..
"Borrowed from a store by buying on credit, female (% age 15+)",fin21b.t.14.a.2,Bulgaria,BGR,..,..,..
"Borrowed from a store by buying on credit, female (% age 15+)",fin21b.t.14.a.2,El Salvador,SLV,..,..,..
"Borrowed from a store by buying on credit, male (% age 15+)",fin21b.t.14.a.1,Uruguay,URY,..,..,..
"Borrowed from a store by buying on credit, male (% age 15+)",fin21b.t.14.a.1,Argentina,ARG,..,..,..
"Borrowed from a store by buying on credit, male (% age 15+)",fin21b.t.14.a.1,Bulgaria,BGR,..,..,..
"Borrowed from a store by buying on credit, male (% age 15+)",fin21b.t.14.a.1,El Salvador,SLV,..,..,..
"Borrowed from family or friends, female (% age 15+)",fin22b.t.a.2,Uruguay,URY,..,..,11.6196088790894
"Borrowed from family or friends, female (% age 15+)",fin22b.t.a.2,Argentina,ARG,..,..,16.1442184448242
"Borrowed from family or friends, female (% age 15+)",fin22b.t.a.2,Bulgaria,BGR,..,..,24.1595363616943
"Borrowed from family or friends, female (% age 15+)",fin22b.t.a.2,El Salvador,SLV,..,..,6.7682318687439
"Borrowed from family or friends, male  (% age 15+)",fin22b.t.a.1,Uruguay,URY,..,..,13.032377243042
"Borrowed from family or friends, male  (% age 15+)",fin22b.t.a.1,Argentina,ARG,..,..,15.2568082809448
"Borrowed from family or friends, male  (% age 15+)",fin22b.t.a.1,Bulgaria,BGR,..,..,24.5391387939453
"Borrowed from family or friends, male  (% age 15+)",fin22b.t.a.1,El Salvador,SLV,..,..,13.5008916854858
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.a.2,Uruguay,URY,..,..,2.15917992591858
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.a.2,Argentina,ARG,..,..,2.85930395126343
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.a.2,Bulgaria,BGR,..,..,1.83714067935944
"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.a.2,El Salvador,SLV,..,..,6.64354276657104
"Borrowed to start, operate, or expand a farm or business, male (% age 15+)",fin21.t.a.1,Uruguay,URY,..,..,3.79541850090027
"Borrowed to start, operate, or expand a farm or business, male (% age 15+)",fin21.t.a.1,Argentina,ARG,..,..,3.6315553188324
"Borrowed to start, operate, or expand a farm or business, male (% age 15+)",fin21.t.a.1,Bulgaria,BGR,..,..,2.16663789749146
"Borrowed to start, operate, or expand a farm or business, male (% age 15+)",fin21.t.a.1,El Salvador,SLV,..,..,8.39089584350586
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,Uruguay,URY,14.5,..,..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,Argentina,ARG,24.6,..,..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,Bulgaria,BGR,10.3,..,..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)",SH.DTH.COMM.1534.FE.ZS,El Salvador,SLV,24.8,..,..
"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,Uruguay,URY,11.4,..,..
"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,Argentina,ARG,11.6,..,..
"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,Bulgaria,BGR,6.9,..,..
"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)",SH.DTH.COMM.1534.MA.ZS,El Salvador,SLV,10.3,..,..
"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,Uruguay,URY,5.5,..,..
"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,Argentina,ARG,8.6,..,..
"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,Bulgaria,BGR,3.1,..,..
"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)",SH.DTH.COMM.3559.FE.ZS,El Salvador,SLV,13.1,..,..
"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,Uruguay,URY,6.3,..,..
"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,Argentina,ARG,8.2,..,..
"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,Bulgaria,BGR,3.7,..,..
"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)",SH.DTH.COMM.3559.MA.ZS,El Salvador,SLV,13.3,..,..
"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,Uruguay,URY,34.8,..,..
"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,Argentina,ARG,29.6,..,..
"Cause of death, by injury, ages 15-34, female  (% of relevant age group)",SH.DTH.INJR.1534.FE.ZS,Bulgaria,BGR,32.3,..,..
